Character,Class,Speed,Speed (Water),Speed (Air),Speed (Ground),Acceleration,Weight,Handling,Handling (Water),Handling (Air),Handling(Ground),Traction,Mini Turbo
Baby Mario,Light,2.25,2.25,2.25,2.25,3.25,2.25,4.75,4.75,4.75,4.75,4.5,3
Baby Luigi,Light,2.25,2.25,2.25,2.25,3.25,2.25,4.75,4.75,4.75,4.75,4.5,3
Baby Peach,Light,2.25,2.25,2.25,2.25,3.25,2.25,4.75,4.75,4.75,4.75,4.5,3
Baby Daisy,Light,2.25,2.25,2.25,2.25,3.25,2.25,4.75,4.75,4.75,4.75,4.5,3
Baby Rosalina,Light,2.25,2.25,2.25,2.25,3.25,2.25,4.75,4.75,4.75,4.75,4.5,3
Lemmy Koopa,Light,2.25,2.25,2.25,2.25,3.25,2.25,4.75,4.75,4.75,4.75,4.5,3
Mii Light,Light,2.25,2.25,2.25,2.25,3.25,2.25,4.75,4.75,4.75,4.75,4.5,3
Toad,Light,2.75,2.75,2.75,2.75,3,2.75,4.25,4.25,4.25,4.25,4.25,2.75
Shy Guy,Light,2.75,2.75,2.75,2.75,3,2.75,4.25,4.25,4.25,4.25,4.25,2.75
Koopa Troopa,Light,2.75,2.75,2.75,2.75,3,2.75,4.25,4.25,4.25,4.25,4.25,2.75
Lakitu,Light,2.75,2.75,2.75,2.75,3,2.75,4.25,4.25,4.25,4.25,4.25,2.75
Wendy Koopa,Light,2.75,2.75,2.75,2.75,3,2.75,4.25,4.25,4.25,4.25,4.25,2.75
Larry Koopa,Light,2.75,2.75,2.75,2.75,3,2.75,4.25,4.25,4.25,4.25,4.25,2.75
Toadette,Light,2.75,2.75,2.75,2.75,3,2.75,4.25,4.25,4.25,4.25,4.25,2.75
Peach,Medium,3.25,3.25,3.25,3.25,2.75,3.25,3.75,3.75,3.75,3.75,4,2.5
Daisy,Medium,3.25,3.25,3.25,3.25,2.75,3.25,3.75,3.75,3.75,3.75,4,2.5
Yoshi,Medium,3.25,3.25,3.25,3.25,2.75,3.25,3.75,3.75,3.75,3.75,4,2.5
Mario,Medium,3.75,3.77,3.78,3.78,2.5,3.75,3.25,3.25,3.25,3.25,3.75,2.5
Luigi,Medium,3.75,3.77,3.78,3.78,2.5,3.75,3.25,3.25,3.25,3.25,3.75,2.5
Iggy Koopa,Medium,3.75,3.77,3.78,3.78,2.5,3.75,3.25,3.25,3.25,3.25,3.75,2.5
Ludwig Koopa,Medium,3.75,3.77,3.78,3.78,2.5,3.75,3.25,3.25,3.25,3.25,3.75,2.5
Mii Medium,Medium,3.75,3.77,3.78,3.78,2.5,3.75,3.25,3.25,3.25,3.25,3.75,2.5
Donkey Kong,Heavy,4.25,4.25,4.25,4.25,2.25,4.25,4.25,2.75,2.75,2.75,3.5,2.25
Waluigi,Heavy,4.25,4.25,4.25,4.25,2.25,4.25,4.25,2.75,2.75,2.75,3.5,2.25
Rosalina,Heavy,4.25,4.25,4.25,4.25,2.25,4.25,4.25,2.75,2.75,2.75,3.5,2.25
Roy Koopa,Heavy,4.25,4.25,4.25,4.25,2.25,4.25,4.25,2.75,2.75,2.75,3.5,2.25
Metal Mario,Heavy,4.25,4.25,4.25,4.25,2,4.75,4.75,2.75,2.75,2.75,3.25,1.75
Pink Gold Peach,Heavy,4.25,4.25,4.25,4.25,2,4.75,4.75,2.75,2.75,2.75,3.25,1.75
Wario,Heavy,4.75,4.75,4.75,4.75,2,4.75,4.75,2.25,2.25,2.25,3.25,1.75
Bowser,Heavy,4.75,4.75,4.75,4.75,2,4.75,4.75,2.25,2.25,2.25,3.25,1.75
Morton Koopa,Heavy,4.75,4.75,4.75,4.75,2,4.75,4.75,2.25,2.25,2.25,3.25,1.75
Mii Heavy,Heavy,4.75,4.75,4.75,4.75,2,4.75,4.75,2.25,2.25,2.25,3.25,1.75
